Day,Keypresses
2021-08-09,24429
2021-08-10,35670
2021-08-11,24372
2021-08-12,43453
2021-08-13,36656
2021-08-14,17281
2021-08-15,1830
2021-08-16,41641
2021-08-17,23921
2021-08-18,11283
2021-08-19,31529
2021-08-20,36314
2021-08-21,3834
2021-08-22,11392
2021-08-23,26247
2021-08-24,31339
2021-08-25,20123
2021-08-26,12438
2021-08-27,82
2021-08-29,942
2021-08-30,30002
2021-08-31,38238
2021-09-01,19699
2021-09-02,16876
2021-09-03,7045
2021-09-04,6199
2021-09-05,6152
2021-09-06,20992
2021-09-07,42412
2021-09-08,48699
2021-09-09,22077
2021-09-10,25543
2021-09-11,37576
2021-09-12,13412
2021-09-13,40983
2021-09-14,50865
2021-09-15,45412
2021-09-16,51579
2021-09-17,21041
2021-09-18,8421
2021-09-19,8668
2021-09-20,38117
2021-09-21,34264
2021-09-22,60820
2021-09-23,65907
2021-09-24,14264
2021-09-25,6475
2021-09-26,4496
2021-09-27,65464
2021-09-28,34911
2021-09-29,55472
2021-09-30,45730
2021-10-01,44509
2021-10-02,17803
2021-10-03,16314
2021-10-04,49460
2021-10-05,59511
2021-10-06,35976
2021-10-07,40866
2021-10-08,13504
2021-10-09,25832
2021-10-10,39724
2021-10-11,57380
2021-10-12,66517
2021-10-13,58065
2021-10-14,65935
2021-10-15,30753
2021-10-16,429
2021-10-17,298
2021-10-18,44970
2021-10-19,52223
2021-10-20,23844
2021-10-21,41177
2021-10-22,23366
2021-10-23,9473
2021-10-25,54958
2021-10-26,62922
2021-10-27,47200
2021-10-28,49860
2021-10-29,1554
2021-10-30,10239
2021-10-31,7001
2021-11-01,3768
2021-11-03,39306
2021-11-04,39199
2021-11-05,26646
2021-11-06,29173
2021-11-07,2216
2021-11-08,54575
2021-11-09,73788
2021-11-10,37456
2021-11-11,26299
2021-11-12,36267
2021-11-13,35023
2021-11-14,1224
2021-11-15,19834
2021-11-16,52537
2021-11-17,42004
2021-11-18,29692
2021-11-19,32493
2021-11-20,2588
2021-11-22,50259
2021-11-23,41000
2021-11-26,2348
2021-11-27,2615
2021-11-28,41185
2021-11-29,38798
2021-11-30,36822
2021-12-01,29954
2021-12-02,48187
2021-12-03,14409
2021-12-04,3196
2021-12-05,11364
2021-12-06,58253
2021-12-07,46330
2021-12-08,16706
2021-12-09,26809
2021-12-10,29714
2021-12-11,17192
2021-12-12,7832
2021-12-13,19344
2021-12-14,57328
2021-12-15,12534
2021-12-16,36460
2021-12-17,37707
2021-12-18,23697
2021-12-19,476
2021-12-20,6643
2021-12-21,9560
2021-12-22,975
2021-12-23,460
2021-12-31,806
2022-01-01,5148
2022-01-02,5887
2022-01-03,8017
2022-01-04,572
2022-01-05,1194
2022-01-06,9812
2022-01-07,23340
2022-01-08,15991
2022-01-09,1
2022-01-10,26002
2022-01-11,20433
2022-01-12,28348
2022-01-13,58190
2022-01-14,23706
2022-01-15,48225
2022-01-16,5965
2022-01-17,24846
2022-01-18,41952
2022-01-19,44061
2022-01-20,42902
2022-01-21,60953
2022-01-22,15741
2022-01-23,32192
2022-01-24,27822
2022-01-25,41528
2022-01-26,41673
2022-01-27,22502
2022-01-28,2382
2022-01-29,26572
