,Date,Keypresses,7_day_ma,28_day_ma,365_day_ma,percentile,rank,Weekday
0,2020-09-21,19081,,,,40.298507462686565,761.0,Monday
1,2020-09-22,32771,,,,65.51453260015711,440.0,Tuesday
2,2020-09-23,32065,,,,64.17910447761194,457.0,Wednesday
3,2020-09-24,34698,,,,69.0102120974077,395.5,Thursday
4,2020-09-25,47038,,,,87.27415553809898,163.0,Friday
5,2020-09-26,33592,,,,66.37863315003928,429.0,Saturday
6,2020-09-27,22795,31720.0,,,46.504320502749415,682.0,Sunday
7,2020-09-28,36153,34158.857142857145,,,71.7989002356638,360.0,Monday
8,2020-09-29,47589,36275.71428571428,,,87.98114689709348,154.0,Tuesday
9,2020-09-30,41136,37571.57142857143,,,79.8114689709348,258.0,Wednesday
10,2020-10-01,64873,41882.28571428572,,,97.56480754124117,32.0,Thursday
11,2020-10-02,23081,38459.857142857145,,,46.897093479968575,677.0,Friday
12,2020-10-03,53457,41297.71428571428,,,92.30164964650433,99.0,Saturday
13,2020-10-04,26070,41765.57142857143,,,52.63157894736842,604.0,Sunday
14,2020-10-05,46862,43295.42857142857,,,87.19560094265515,164.0,Monday
15,2020-10-06,43125,42657.71428571428,,,82.6394344069128,222.0,Tuesday
16,2020-10-07,47218,43526.57142857143,,,87.50981932443048,160.0,Wednesday
17,2020-10-08,60890,42957.57142857143,,,96.15082482325215,50.0,Thursday
18,2020-10-09,51033,46950.71428571428,,,90.88766692851532,117.0,Friday
19,2020-10-10,20985,42311.857142857145,,,43.44069128043991,721.0,Saturday
20,2020-10-11,10693,40115.142857142855,,,27.808326787117043,920.0,Sunday
21,2020-10-12,27004,37278.28571428572,,,55.14532600157109,572.0,Monday
22,2020-10-13,33719,35934.57142857143,,,66.53574234092694,427.0,Tuesday
23,2020-10-14,48366,36098.57142857143,,,88.68813825608798,145.0,Wednesday
24,2020-10-15,18913,30101.85714285714,,,39.9057344854674,766.0,Thursday
25,2020-10-16,18460,25448.571428571428,,,38.80597014925373,780.0,Friday
26,2020-10-17,27109,26323.428571428572,,,55.30243519245875,570.0,Saturday
