,Day,Hour,Keypresses,keypresses_over_last_24_hours
155,2020-09-27,11,0,34850.0
156,2020-09-27,12,0,31364.0
157,2020-09-27,13,0,28361.0
158,2020-09-27,14,0,25767.0
159,2020-09-27,15,0,21960.0
160,2020-09-27,16,0,18343.0
161,2020-09-27,17,0,18343.0
162,2020-09-27,18,0,18343.0
163,2020-09-27,19,0,18343.0
164,2020-09-27,20,6969,25312.0
165,2020-09-27,21,5409,28810.0
166,2020-09-27,22,1338,25592.0
167,2020-09-27,23,2337,22795.0
168,2020-09-28,0,46,19999.0
169,2020-09-28,1,0,19999.0
170,2020-09-28,2,0,19999.0
171,2020-09-28,3,0,19999.0
172,2020-09-28,4,0,19999.0
173,2020-09-28,5,0,19999.0
174,2020-09-28,6,0,19999.0
175,2020-09-28,7,0,19999.0
176,2020-09-28,8,0,18245.0
177,2020-09-28,9,0,16099.0
178,2020-09-28,10,0,16099.0
179,2020-09-28,11,3369,19468.0
180,2020-09-28,12,2752,22220.0
181,2020-09-28,13,212,22432.0
182,2020-09-28,14,2235,24667.0
183,2020-09-28,15,5633,30300.0
184,2020-09-28,16,4186,34486.0
185,2020-09-28,17,2946,37432.0
186,2020-09-28,18,2803,40235.0
187,2020-09-28,19,2889,43124.0
188,2020-09-28,20,3160,39315.0
189,2020-09-28,21,30,33936.0
190,2020-09-28,22,4049,36647.0
191,2020-09-28,23,1843,36153.0
192,2020-09-29,0,0,36107.0
193,2020-09-29,1,0,36107.0
194,2020-09-29,2,0,36107.0
195,2020-09-29,3,0,36107.0
196,2020-09-29,4,0,36107.0
197,2020-09-29,5,0,36107.0
198,2020-09-29,6,0,36107.0
199,2020-09-29,7,0,36107.0
200,2020-09-29,8,3034,39141.0
201,2020-09-29,9,4138,43279.0
202,2020-09-29,10,4359,47638.0
203,2020-09-29,11,4370,48639.0
204,2020-09-29,12,4449,50336.0
205,2020-09-29,13,5466,55590.0
206,2020-09-29,14,3374,56729.0
207,2020-09-29,15,2580,53676.0
208,2020-09-29,16,3803,53293.0
209,2020-09-29,17,1132,51479.0
210,2020-09-29,18,0,48676.0
211,2020-09-29,19,1038,46825.0
212,2020-09-29,20,4735,48400.0
213,2020-09-29,21,2494,50864.0
214,2020-09-29,22,2617,49432.0
215,2020-09-29,23,0,47589.0
216,2020-09-30,0,0,47589.0
217,2020-09-30,1,0,47589.0
218,2020-09-30,2,0,47589.0
219,2020-09-30,3,0,47589.0
220,2020-09-30,4,0,47589.0
221,2020-09-30,5,0,47589.0
222,2020-09-30,6,0,47589.0
223,2020-09-30,7,0,47589.0
224,2020-09-30,8,0,44555.0
225,2020-09-30,9,461,40878.0
226,2020-09-30,10,3802,40321.0
227,2020-09-30,11,97,36048.0
228,2020-09-30,12,5039,36638.0
229,2020-09-30,13,6285,37457.0
230,2020-09-30,14,4809,38892.0
