Date,steps,7_day_avg,30_day_avg,365_day_avg
2020-05-04,3895,4357.428571428572,4651.2,
2020-05-05,4620,4312.285714285715,4455.533333333334,
2020-05-06,4922,4509.142857142857,4333.566666666667,
2020-05-07,3713,4480.285714285715,4308.066666666667,
2020-05-08,3538,3660.8571428571427,4273.0,
2020-05-09,3841,3690.285714285714,4069.9333333333334,
2020-05-10,6694,4460.428571428572,4121.166666666667,
2020-05-11,4451,4539.857142857143,3893.866666666667,
2020-05-12,3325,4354.857142857143,3773.4666666666667,
2020-05-13,3735,4185.285714285715,3561.5333333333333,
2020-05-14,4623,4315.285714285715,3597.7,
2020-05-15,4226,4413.571428571428,3656.233333333333,
2020-05-16,4512,4509.428571428572,3659.633333333333,
2020-05-17,1900,3824.5714285714284,3645.2,
2020-05-18,3724,3720.714285714286,3769.3333333333335,
2020-05-19,3266,3712.285714285714,3878.2,
2020-05-20,4526,3825.285714285714,4029.0666666666666,
2020-05-21,7366,4217.142857142857,4273.8,
2020-05-22,9129,4917.571428571428,4462.6,
2020-05-23,4669,4940.0,4491.5,
2020-05-24,19970,7521.428571428572,4941.1,
2020-05-25,14120,9006.57142857143,5364.933333333333,
2020-05-26,5409,9312.714285714286,5386.2,
2020-05-27,4453,9302.285714285714,5374.466666666666,
2020-05-28,4280,8861.42857142857,5352.6,
2020-05-29,7037,8562.57142857143,5469.033333333334,
2020-05-30,6828,8871.0,5566.133333333333,
2020-05-31,6320,6921.0,5467.666666666667,
2020-06-01,4388,5530.714285714285,5492.766666666666,
2020-06-02,3817,5303.285714285715,5576.566666666667,
2020-06-03,6011,5525.857142857143,5647.1,
2020-06-04,3925,5475.142857142857,5623.933333333333,
2020-06-05,5284,5224.714285714285,5636.0,
2020-06-06,2882,4661.0,5608.3,
2020-06-07,6572,4697.0,5709.433333333333,
2020-06-08,3882,4624.714285714285,5710.8,
2020-06-09,5114,4810.0,5658.133333333333,
2020-06-10,4355,4573.428571428572,5654.933333333333,
2020-06-11,4940,4718.428571428572,5708.766666666666,
2020-06-12,4902,4663.857142857143,5747.666666666667,
2020-06-13,3412,4739.571428571428,5707.3,
2020-06-14,3150,4250.714285714285,5671.433333333333,
2020-06-15,4913,4398.0,5684.8,
2020-06-16,5084,4393.714285714285,5790.933333333333,
2020-06-17,6026,4632.428571428572,5867.666666666667,
2020-06-18,5585,4724.571428571428,5944.966666666666,
2020-06-19,3439,4515.571428571428,5908.733333333334,
