,Date,keypresses,7_day_ma,28_day_ma,365_day_ma,percentile,rank,Weekday
102,2021-01-01,2574,4266.142857142857,24033.35714285714,,13.630573248407643,679.0,Friday
103,2021-01-02,4974,4825.428571428572,22931.0,,16.94267515923567,653.0,Saturday
104,2021-01-03,22146,7605.142857142857,23622.821428571428,,44.3312101910828,438.0,Sunday
105,2021-01-04,14043,7764.285714285715,22506.39285714286,,30.445859872611464,547.0,Monday
106,2021-01-05,26258,10304.142857142857,22861.035714285714,,52.99363057324841,370.0,Tuesday
107,2021-01-06,18377,12624.57142857143,21537.464285714286,,37.19745222929936,494.0,Wednesday
108,2021-01-07,40541,18416.14285714286,21481.5,,77.70700636942675,176.0,Thursday
109,2021-01-08,50284,25231.85714285714,21305.714285714286,,90.31847133757962,77.0,Friday
110,2021-01-09,30575,28889.14285714286,21010.785714285714,,61.273885350318466,305.0,Saturday
111,2021-01-10,25228,29329.428571428572,21103.35714285714,,50.445859872611464,390.0,Sunday
112,2021-01-11,51070,34619.0,21614.428571428572,,90.828025477707,73.0,Monday
113,2021-01-12,32040,35445.0,20545.535714285714,,64.07643312101911,283.0,Tuesday
114,2021-01-13,303,32863.0,18897.14285714286,,7.261146496815287,729.0,Wednesday
115,2021-01-14,44938,33491.142857142855,19073.178571428572,,83.94904458598727,127.0,Thursday
116,2021-01-15,25531,29955.0,18364.39285714286,,51.210191082802545,384.0,Friday
117,2021-01-16,19800,28415.714285714286,18537.10714285714,,40.12738853503185,471.0,Saturday
118,2021-01-17,18696,27482.571428571428,18042.464285714286,,38.089171974522294,487.0,Sunday
119,2021-01-18,18641,22849.85714285714,17862.535714285714,,37.961783439490446,488.0,Monday
120,2021-01-19,29922,22547.285714285714,18311.178571428572,,60.509554140127385,311.0,Tuesday
121,2021-01-20,51446,29853.428571428572,20122.678571428572,,90.95541401273886,72.0,Wednesday
122,2021-01-21,30810,27835.14285714286,21041.39285714286,,61.910828025477706,300.0,Thursday
123,2021-01-22,58872,32598.14285714286,23012.785714285714,,95.6687898089172,35.0,Friday
124,2021-01-23,34698,34726.42857142857,24214.178571428572,,68.08917197452229,251.5,Saturday
125,2021-01-24,33805,36884.857142857145,25325.5,,66.4968152866242,264.0,Sunday
126,2021-01-25,64903,43493.71428571428,27181.714285714286,,98.21656050955414,15.0,Monday
127,2021-01-26,24062,42656.57142857143,27738.25,,48.02547770700637,409.0,Tuesday
128,2021-01-27,49039,42312.71428571428,29413.428571428572,,89.29936305732484,85.0,Wednesday
129,2021-01-28,46251,44518.57142857143,31065.25,,85.47770700636943,115.0,Thursday
130,2021-01-29,39842,41800.0,32396.25,,77.32484076433121,179.0,Friday
131,2021-01-30,43334,43033.71428571428,33766.25,,82.54777070063695,138.0,Saturday
132,2021-01-31,27113,42077.71428571428,33943.642857142855,,55.54140127388535,350.0,Sunday
133,2021-02-01,58958,41228.42857142857,35547.75,,95.79617834394905,34.0,Monday
134,2021-02-02,17985,40360.28571428572,35252.28571428572,,36.30573248407643,501.0,Tuesday
135,2021-02-03,50101,40512.0,36385.28571428572,,90.06369426751593,79.0,Wednesday
136,2021-02-04,42024,39908.142857142855,36438.25,,80.89171974522293,151.0,Thursday
137,2021-02-05,11856,35910.142857142855,35065.82142857143,,27.515923566878982,570.0,Friday
138,2021-02-06,3134,30167.285714285714,34085.78571428572,,14.394904458598726,673.0,Saturday
139,2021-02-07,15551,28515.571428571428,33740.17857142857,,32.738853503184714,529.0,Sunday
140,2021-02-08,70591,30177.428571428572,34437.357142857145,,99.36305732484077,6.0,Monday
141,2021-02-09,47842,34442.71428571428,35001.71428571428,,87.51592356687898,99.0,Tuesday
142,2021-02-10,50048,34435.142857142855,36778.32142857143,,89.80891719745223,81.0,Wednesday
143,2021-02-11,54595,36231.0,37123.21428571428,,92.99363057324841,56.0,Thursday
144,2021-02-12,44561,40903.142857142855,37802.857142857145,,83.69426751592357,129.0,Friday
145,2021-02-13,22680,43695.42857142857,37905.71428571428,,45.22292993630573,431.0,Saturday
146,2021-02-14,35566,46554.71428571428,38508.21428571428,,69.80891719745223,238.0,Sunday
147,2021-02-15,67930,46174.57142857143,40268.53571428572,,99.10828025477707,8.0,Monday
148,2021-02-16,28789,43452.71428571428,40228.07142857143,,58.72611464968153,325.0,Tuesday
149,2021-02-17,67505,45946.57142857143,40801.607142857145,,98.85350318471338,10.0,Wednesday
150,2021-02-18,48996,45146.71428571428,41451.107142857145,,89.171974522293,86.0,Thursday
151,2021-02-19,62473,47705.57142857143,41579.71428571428,,97.45222929936305,21.0,Friday
152,2021-02-20,21341,47514.28571428572,41102.67857142857,,43.31210191082803,446.0,Saturday
153,2021-02-21,29024,46579.71428571428,40931.92857142857,,59.10828025477707,322.0,Sunday
154,2021-02-22,77753,47983.0,41390.857142857145,,100.0,1.0,Monday
155,2021-02-23,22564,47093.71428571428,41337.357142857145,,44.840764331210195,434.0,Tuesday
156,2021-02-24,49853,44572.0,41366.42857142857,,89.55414012738854,83.0,Wednesday
157,2021-02-25,35177,42597.857142857145,40970.92857142857,,69.17197452229298,243.0,Thursday
158,2021-02-26,37546,39036.857142857145,40888.92857142857,,73.50318471337579,209.0,Friday
159,2021-02-27,1131,36149.71428571428,39381.67857142857,,10.445859872611466,704.0,Saturday
160,2021-02-28,12830,33836.28571428572,38871.57142857143,,29.044585987261147,558.0,Sunday
161,2021-03-01,25802,26414.714285714286,37687.42857142857,,51.59235668789809,381.0,Monday
162,2021-03-02,46729,29866.85714285714,38714.0,,86.24203821656052,109.0,Tuesday
163,2021-03-03,5632,23549.571428571428,37125.82142857143,,17.961783439490446,645.0,Wednesday
164,2021-03-04,10799,20067.0,36010.642857142855,,26.62420382165605,577.0,Thursday
165,2021-03-05,20227,17592.85714285714,36309.607142857145,,41.01910828025478,464.0,Friday
166,2021-03-06,4928,18135.285714285714,36373.67857142857,,16.687898089171973,655.0,Saturday
167,2021-03-07,13454,18224.428571428572,36298.78571428572,,29.936305732484076,551.0,Sunday
168,2021-03-08,45078,20978.14285714286,35387.607142857145,,84.20382165605096,125.0,Monday
169,2021-03-09,56342,22351.428571428572,35691.17857142857,,94.14012738853503,47.0,Tuesday
170,2021-03-10,54809,29376.714285714286,35861.21428571428,,93.37579617834395,53.0,Wednesday
171,2021-03-11,54604,35634.57142857143,35861.53571428572,,93.12101910828025,55.0,Thursday
172,2021-03-12,32982,37456.71428571428,35448.0,,65.85987261146497,269.0,Friday
173,2021-03-13,12911,38597.142857142855,35099.107142857145,,29.29936305732484,556.0,Saturday
174,2021-03-14,24992,40245.42857142857,34721.46428571428,,49.80891719745223,395.0,Sunday
175,2021-03-15,52934,41367.71428571428,34185.892857142855,,91.84713375796179,65.0,Monday
176,2021-03-16,54745,41139.57142857143,35112.892857142855,,93.2484076433121,54.0,Tuesday
177,2021-03-17,50370,40505.42857142857,34500.92857142857,,90.44585987261146,76.0,Wednesday
178,2021-03-18,27299,36604.71428571428,33726.03571428572,,56.05095541401274,346.0,Thursday
179,2021-03-19,36243,37070.57142857143,32789.25,,71.21019108280254,227.0,Friday
180,2021-03-20,14008,37227.28571428572,32527.35714285714,,30.318471337579616,548.0,Saturday
181,2021-03-21,23336,36990.71428571428,32324.214285714286,,46.11464968152866,424.0,Sunday
182,2021-03-22,56792,37541.857142857145,31575.60714285714,,94.39490445859873,45.0,Monday
183,2021-03-23,48908,36708.0,32516.464285714286,,88.85350318471338,88.5,Tuesday
184,2021-03-24,58764,37907.142857142855,32834.71428571428,,95.54140127388536,36.0,Wednesday
185,2021-03-25,60758,42687.0,33748.32142857143,,96.43312101910828,29.0,Thursday
186,2021-03-26,14660,39603.71428571428,32930.96428571428,,31.337579617834393,540.0,Friday
187,2021-03-27,23153,40910.142857142855,33717.46428571428,,45.85987261146497,426.0,Saturday
188,2021-03-28,51603,44948.28571428572,35102.21428571428,,91.21019108280255,70.0,Sunday
189,2021-03-29,43342,43026.857142857145,35728.642857142855,,82.67515923566879,137.0,Monday
190,2021-03-30,59733,44573.28571428572,36193.07142857143,,96.05095541401273,32.0,Tuesday
191,2021-03-31,56913,44308.857142857145,38024.53571428572,,94.52229299363057,44.0,Wednesday
192,2021-04-01,35601,40715.0,38910.32142857143,,69.93630573248407,237.0,Thursday
193,2021-04-02,29135,42782.857142857145,39228.46428571428,,59.36305732484076,320.0,Friday
194,2021-04-03,37120,44778.142857142855,40378.17857142857,,73.12101910828025,212.0,Saturday
195,2021-04-04,7187,38433.0,40154.357142857145,,21.146496815286625,620.0,Sunday
196,2021-04-05,48922,39230.142857142855,40291.642857142855,,89.04458598726114,87.0,Monday
197,2021-04-06,68313,40455.857142857145,40719.17857142857,,99.23566878980891,7.0,Tuesday
198,2021-04-07,62668,41278.0,40999.857142857145,,97.70700636942675,19.0,Wednesday
199,2021-04-08,37012,41479.57142857143,40371.57142857143,,72.9936305732484,213.0,Thursday
200,2021-04-09,6081,38186.142857142855,39410.82142857143,,18.980891719745223,637.0,Friday
201,2021-04-10,0,32883.28571428572,38949.71428571428,,2.802547770700637,764.0,Saturday
202,2021-04-11,16116,34158.857142857145,38632.71428571428,,33.2484076433121,525.0,Sunday
203,2021-04-12,45196,33626.57142857143,38356.357142857145,,84.3312101910828,124.0,Monday
204,2021-04-13,42413,29926.571428571428,37915.92857142857,,81.40127388535032,147.0,Tuesday
205,2021-04-14,28334,25021.714285714286,37128.92857142857,,57.70700636942675,333.0,Wednesday
206,2021-04-15,45986,26303.714285714286,37796.32142857143,,85.35031847133759,116.0,Thursday
207,2021-04-16,18440,28069.285714285714,37160.5,,37.324840764331206,493.0,Friday
208,2021-04-17,15414,30271.285714285714,37210.71428571428,,32.35668789808917,532.0,Saturday
209,2021-04-18,34733,32930.857142857145,37617.75,,68.40764331210191,249.0,Sunday
210,2021-04-19,36911,31747.285714285714,36907.71428571428,,72.73885350318471,215.0,Monday
211,2021-04-20,54459,33468.142857142855,37105.96428571428,,92.73885350318471,58.0,Tuesday
212,2021-04-21,35475,34488.28571428572,36274.21428571428,,69.55414012738854,240.0,Wednesday
213,2021-04-22,28641,32010.428571428572,35127.17857142857,,58.34394904458598,328.0,Thursday
214,2021-04-23,12724,31193.85714285714,35058.03571428572,,28.78980891719745,560.0,Friday
215,2021-04-24,36785,34246.857142857145,35544.892857142855,,72.22929936305732,219.0,Saturday
216,2021-04-25,4597,29941.714285714286,33866.107142857145,,16.43312101910828,657.0,Sunday
217,2021-04-26,12249,26418.571428571428,32755.64285714286,,27.770700636942674,568.0,Monday
218,2021-04-27,12366,20405.285714285714,31063.964285714286,,28.152866242038215,565.0,Tuesday
219,2021-04-28,14935,17471.0,29564.75,,31.59235668789809,538.0,Wednesday
220,2021-04-29,314,13424.285714285714,28304.5,,7.388535031847134,728.0,Thursday
221,2021-04-30,5337,12369.0,27454.571428571428,,17.452229299363058,649.0,Friday
222,2021-05-01,1062,7265.714285714285,26166.785714285714,,10.191082802547772,706.0,Saturday
223,2021-05-02,2520,6969.0,26000.10714285714,,13.503184713375797,680.0,Sunday
224,2021-05-03,24352,8698.0,25122.60714285714,,48.66242038216561,404.0,Monday
225,2021-05-04,20101,9803.0,23400.75,,40.50955414012739,468.0,Tuesday
226,2021-05-05,0,7669.428571428572,21162.60714285714,,2.802547770700637,764.0,Wednesday
227,2021-05-06,21886,10751.142857142857,20622.39285714286,,43.94904458598726,441.0,Thursday
228,2021-05-07,21356,13039.57142857143,21167.928571428572,,43.439490445859875,445.0,Friday
229,2021-05-08,9836,14293.0,21519.214285714286,,25.095541401273884,589.0,Saturday
230,2021-05-09,3406,14419.57142857143,21065.285714285714,,14.904458598726114,669.0,Sunday
231,2021-05-10,42051,16948.0,20952.964285714286,,81.01910828025478,150.0,Monday
232,2021-05-11,25235,17681.428571428572,20339.464285714286,,50.57324840764331,389.0,Tuesday
233,2021-05-12,40775,23506.428571428572,20783.785714285714,,78.21656050955414,172.0,Wednesday
234,2021-05-13,34108,25252.428571428572,20359.571428571428,,66.87898089171973,261.0,Thursday
235,2021-05-14,28767,26311.14285714286,20728.39285714286,,58.59872611464968,326.0,Friday
236,2021-05-15,0,24906.0,20177.89285714286,,2.802547770700637,764.0,Saturday
237,2021-05-16,7139,25439.285714285714,19192.39285714286,,21.019108280254777,621.0,Sunday
238,2021-05-17,35781,24543.571428571428,19152.035714285714,,70.19108280254777,235.0,Monday
239,2021-05-18,32122,25527.428571428572,18354.285714285714,,64.45859872611464,280.0,Tuesday
240,2021-05-19,35168,24726.428571428572,18343.321428571428,,69.04458598726114,244.0,Wednesday
241,2021-05-20,30697,24239.14285714286,18416.75,,61.52866242038216,303.0,Thursday
242,2021-05-21,20883,23112.85714285714,18708.14285714286,,41.783439490445865,458.0,Friday
243,2021-05-22,19741,25933.0,18099.428571428572,,39.74522292993631,474.0,Saturday
244,2021-05-23,20175,27795.285714285714,18655.785714285714,,40.89171974522293,465.0,Sunday
245,2021-05-24,36838,27946.285714285714,19533.964285714286,,72.61146496815286,216.0,Monday
246,2021-05-25,46395,29985.285714285714,20749.285714285714,,85.73248407643312,113.0,Tuesday
247,2021-05-26,38854,30511.85714285714,21603.535714285714,,76.05095541401275,189.0,Wednesday
248,2021-05-27,22674,29365.714285714286,22402.10714285714,,45.095541401273884,432.0,Thursday
249,2021-05-28,26113,30112.85714285714,23144.10714285714,,52.35668789808917,375.0,Friday
250,2021-05-29,18290,29905.571428571428,23759.39285714286,,36.94267515923567,496.0,Saturday
251,2021-05-30,28997,31165.85714285714,24705.0,,58.853503184713375,324.0,Sunday
252,2021-05-31,4833,26593.714285714286,24007.89285714286,,16.560509554140125,656.0,Monday
253,2021-06-01,24829,23512.85714285714,24176.75,,49.554140127388536,397.0,Tuesday
254,2021-06-02,36930,23238.0,25495.678571428572,,72.86624203821655,214.0,Wednesday
255,2021-06-03,40542,25790.571428571428,26161.964285714286,,77.8343949044586,175.0,Thursday
256,2021-06-04,45297,28531.14285714286,27017.0,,84.45859872611466,123.0,Friday
257,2021-06-05,4136,26509.14285714286,26813.428571428572,,15.92356687898089,661.0,Saturday
258,2021-06-06,1084,22521.571428571428,26730.5,,10.318471337579618,705.0,Sunday
259,2021-06-07,10059,23268.14285714286,25587.928571428572,,25.605095541401273,585.0,Monday
260,2021-06-08,25490,23362.571428571428,25597.035714285714,,50.955414012738856,386.0,Tuesday
261,2021-06-09,10370,19568.285714285714,24511.14285714286,,25.85987261146497,583.0,Wednesday
262,2021-06-10,21211,16806.714285714286,24050.535714285714,,42.92993630573248,449.0,Thursday
263,2021-06-11,9331,11668.714285714286,23356.39285714286,,24.203821656050955,596.0,Friday
264,2021-06-12,2311,11408.0,23438.928571428572,,12.993630573248408,684.0,Saturday
265,2021-06-13,2081,11550.42857142857,23258.285714285714,,12.611464968152866,687.0,Sunday
266,2021-06-14,18980,12824.857142857143,22658.25,,38.726114649681534,482.0,Monday
267,2021-06-15,32662,13849.42857142857,22677.535714285714,,65.47770700636943,272.0,Tuesday
268,2021-06-16,39301,17982.428571428572,22825.14285714286,,76.56050955414014,185.0,Wednesday
269,2021-06-17,25310,18568.0,22632.75,,50.70063694267516,388.0,Thursday
270,2021-06-18,11055,18814.285714285714,22281.75,,26.751592356687897,576.0,Friday
271,2021-06-19,5258,19235.285714285714,21764.5,,17.32484076433121,650.0,Saturday
272,2021-06-20,9107,20239.0,21369.214285714286,,23.56687898089172,601.0,Sunday
273,2021-06-21,20104,20399.571428571428,20771.571428571428,,40.63694267515924,467.0,Monday
274,2021-06-22,28596,19818.714285714286,20135.89285714286,,58.216560509554135,329.0,Tuesday
275,2021-06-23,25414,17834.85714285714,19655.89285714286,,50.82802547770701,387.0,Wednesday
276,2021-06-24,22398,17418.85714285714,19646.035714285714,,44.45859872611465,437.0,Thursday
277,2021-06-25,38387,21323.428571428572,20084.39285714286,,74.90445859872611,198.0,Friday
278,2021-06-26,19505,23358.714285714286,20127.785714285714,,39.23566878980892,478.0,Saturday
279,2021-06-27,5931,22905.0,19304.0,,18.471337579617835,641.0,Sunday
280,2021-06-28,29133,24194.85714285714,20171.85714285714,,59.23566878980891,321.0,Monday
281,2021-06-29,31937,24672.14285714286,20425.714285714286,,63.82165605095541,285.0,Tuesday
282,2021-06-30,25145,24633.714285714286,20004.821428571428,,50.318471337579616,391.0,Wednesday
